Show Date	Artist	Supporting Acts	Venue	Setlist.fm URL	Playlist URL	Match Type	YT Title	Notes / Memories
2026-01-11	Ana Popovic		Ram's Head Live on Stage	https://www.setlist.fm/setlist/ana-popovi/2026/rams-head-on-stage-annapolis-md-434f67bf.html		5 video(s) found	Ana Popović LIVE - Lasting Kind of Love (bootleg) | Ana Popović LIVE -50 Ways To Leave Your Lover (bootleg) | Ana Popović LIVE - Power Over Me (bootleg) ... (+2 more)	
2026-01-31	Kingsley Flood	Hannah Honeycutt	Jammin' Java	https://www.setlist.fm/setlist/kingsley-flood/2026/jammin-java-vienna-va-2b4bacba.html		9 video(s) found	Kingsley Flood LIVE - Career Opportunities (bootleg) | Kingsley Flood LIVE - Roll of the Dice (bootleg) | Kingsley Flood LIVE - Waiting for the River to Rise (bootleg) ... (+6 more)	
2026-02-14	Vanessa Collier		Ram's Head Live on Stage	https://www.setlist.fm/setlist/vanessa-collier/2026/rams-head-on-stage-annapolis-md-734bdaad.html		4 video(s) found	Vanessa Collier LIVE - Sweatin' Like a Pig, Singin' Like an Angel (bootleg) | Vanessa Collier LIVE - Bloodhound (bootleg) | Vanessa Collier LIVE - When It Don't Come Easy (bootleg) ... (+1 more)	
2026-02-19	Mohini Dey		The Birchmere	https://www.setlist.fm/setlist/mohini-dey/2026/the-birchmere-alexandria-va-434b4777.html		4 video(s) found	Mohini Dey LIVE - absolutely EPIC solo (bootleg) | Mohini Dey LIVE - Coloured Goddess? (bootleg) | Mohini Dey LIVE - Meat Eater (bootleg) ... (+1 more)	Hat autograph: Mohini Dey.
2026-02-21	Matteo Mancuso		Hamilton Live	https://www.setlist.fm/setlist/matteo-mancuso/2026/the-hamilton-live-washington-dc-6b4bdaa2.html		5 video(s) found	Matteo Mancuso LIVE - Black Centurion? (bootleg) | Matteo Mancuso LIVE - ?? Unknown ??  (bootleg) | Matteo Mancuso LIVE - Solar Wind (bootleg) ... (+2 more)	
2026-02-23	Billy Gibbons		The Birchmere	https://www.setlist.fm/setlist/billy-gibbons-and-the-bfgs/2026/the-birchmere-alexandria-va-1b4f3574.html		8 video(s) found	Billy Gibbons and the BFG's LIVE - Francine (bootleg) | Billy Gibbons and The BFG’s LIVE - Brown Sugar (bootleg) | Billy Gibbons and The BFG’s LIVE - Jesus Just Left Chicago (bootleg) ... (+5 more)	
2026-03-07	Albert Castiglia		Ram's Head Live on Stage	https://www.setlist.fm/setlist/albert-castiglia/2026/rams-head-on-stage-annapolis-md-b4865a2.html		5 video(s) found	Albert Castiglia LIVE - Have You No Shame (bootleg) | Albert Castiglia LIVE - Don't Burn Down The Bridge (bootleg) | Albert Castiglia LIVE - EPIC Hendrix jam - Little Wing/Voodoo Chile/Hey Joe (bootleg) ... (+2 more)	
2026-03-11	Sue Foley	Scott Tournet	Hamilton Live	https://www.setlist.fm/setlist/sue-foley/2026/the-hamilton-live-washington-dc-2b49a0ba.html		10 video(s) found	Sue Foley LIVE - Nothin' In Ramblin' (bootleg) | Sue Foley LIVE -  Lonesome Homesick Blues (bootleg) | Sue Foley LIVE -  Oh Babe It Ain't No Lie (bootleg) ... (+7 more)	
2026-03-18	Taj Farrant		Ram's Head Live on Stage	https://www.setlist.fm/setlist/taj-farrant/2026/rams-head-on-stage-annapolis-md-5b49e780.html		7 video(s) found	Taj Farrant LIVE - Purple Rain (bootleg) | Taj Farrant LIVE - Mumma Raised a Man (bootleg) | Taj Farrant LIVE - Ain't No Sunshine (bootleg) ... (+4 more)	
2026-03-20	Danielle Nicole	Brody Buster	Hamilton Live	https://www.setlist.fm/setlist/danielle-nicole/2026/the-hamilton-live-washington-dc-33492cc1.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK3qhHKzR5rVBeqtngvi8bL	Playlist (7 videos)	Danielle Nicole Band LIVE @ Hamilton Live (DC) 03/20/26	Arrived just before 6, 12th in line. Walked in with Bob Lubbehusen and Ed Warburton — they saved a seat. She played one song using an all-white right-handed bass with an embedded working neon tube that had been built for Dusty Hill of ZZ Top.
2026-03-21	ZZ Ward	The Jesse Williams Band	The Birchmere	https://www.setlist.fm/setlist/zz-ward/2026/the-birchmere-alexandria-va-13492945.html		10 video(s) found	Jesse Williams Band LIVE - Quit Quiet (bootleg) | ZZ Ward LIVE - Dust My Broom (bootleg) | ZZ Ward LIVE - Grinnin' In Your Face (bootleg) ... (+7 more)	
